@relation whatever
@attribute sentiment_polarity real
@attribute sentiment_subjectivity real
@attribute absPolarity real
@attribute drunk {True, False}
@attribute am {True, False}
@attribute becaus {True, False}
@attribute realli {True, False}
@attribute as {True, False}
@attribute im {True, False}
@attribute at {True, False}
@attribute need {True, False}
@attribute still {True, False}
@attribute shit {True, False}
@attribute out {True, False}
@attribute for {True, False}
@attribute when {True, False}
@attribute lol {True, False}
@attribute how {True, False}
@attribute too {True, False}
@attribute time {True, False}
@attribute got {True, False}
@attribute was {True, False}
@attribute today {True, False}
@attribute we {True, False}
@attribute good {True, False}
@attribute never {True, False}
@attribute fuck {True, False}
@attribute now {True, False}
@attribute last {True, False}
@attribute this {True, False}
@attribute work {True, False}
@attribute up {True, False}
@attribute i {True, False}
@attribute so {True, False}
@attribute night {True, False}
@attribute my {True, False}
@attribute think {True, False}
@attribute drink {True, False}
@attribute getdrunk {True, False}
@attribute imdrunk {True, False}
@attribute stilldrunk {True, False}
@attribute gotdrunk {True, False}
@attribute yourdrunk {True, False}
@attribute L {True, False}
@data
-0.19,0.62,0.18888888899999998,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True
-0.5,1.0,0.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
-0.31,0.65,0.3125,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
-0.5,1.0,0.5,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
-0.08,0.82,0.075,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True
-0.5,1.0,0.5,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True
-0.13,1.0,0.133333333,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
0.11,0.53,0.11333333300000001,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
-0.1,0.7,0.1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True
0.02,0.68,0.02,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
-0.5,1.0,0.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
-0.28,0.52,0.28,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.17,1.0,0.175,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
