@relation whatever
@attribute sentiment_polarity real
@attribute sentiment_subjectivity real
@attribute absPolarity real
@attribute and {True, False}
@attribute a {True, False}
@attribute get {True, False}
@attribute i {True, False}
@attribute my {True, False}
@attribute drunk {True, False}
@attribute to {True, False}
@attribute the {True, False}
@attribute was {True, False}
@attribute you {True, False}
@attribute getdrunk {True, False}
@attribute imdrunk {True, False}
@attribute stilldrunk {True, False}
@attribute gotdrunk {True, False}
@attribute yourdrunk {True, False}
@attribute L {True, False}
@data
0.01,0.3,0.01,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
0.16,0.28,0.161111111,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0.48,0.88,0.47916666700000005,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.42,0.5,0.41666666700000005,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.27,0.35,0.26666666699999997,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.59,0.6,0.589583333,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.01,0.63,0.011111111000000002,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.01,0.59,0.010416667,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True
0.47,0.7,0.46666666700000003,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True
0.07,0.65,0.066666667,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.37,0.45,0.36666666700000006,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.17,0.25,0.166666667,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.05,0.48,0.051282050999999995,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True
0.42,0.5,0.41666666700000005,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True
0.22,0.39,0.222222222,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
0.08,0.6,0.07777777799999999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.32,0.52,0.321969697,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
0.22,0.5,0.215277778,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.24,0.46,0.23968254,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
-0.02,0.37,0.022222222000000003,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
0.31,0.52,0.30952381,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True
0.81,0.5,0.813802083,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.14,0.28,0.135416667,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.1,0.67,0.1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.07,0.65,0.066666667,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
-0.08,0.4,0.083333333,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
-0.12,0.73,0.12222222199999999,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.0,0.0,0.0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.21,0.73,0.21111111100000002,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0.48,0.5,0.47916666700000005,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.52,0.55,0.5166666670000001,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
0.21,0.75,0.208333333,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.02,0.45,0.016666667,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0.58,0.7,0.577777778,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.5,0.71,0.495659722,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
0.42,0.5,0.41666666700000005,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
-0.06,0.5,0.055555556,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.0,0.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.52,0.5,0.520833333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.11,0.52,0.111111111,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.32,0.44,0.320634921,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.47,0.75,0.46666666700000003,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
-0.21,0.56,0.207407407,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True
-0.29,0.54,0.291666667,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
0.17,0.31,0.166666667,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.14,0.7,0.136111111,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True
0.02,0.55,0.016666667,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.42,0.5,0.41666666700000005,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.11,0.46,0.11489899,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
0.57,0.6,0.566666667,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.17,0.3,0.166666667,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.07,0.55,0.066666667,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.28,0.33,0.27777777800000003,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.27,0.55,0.26666666699999997,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,True
0.81,0.5,0.813802083,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.36,0.3,0.358333333,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,True
0.33,0.6,0.333333333,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.01,0.7,0.005555556,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True
0.36,0.8,0.36111111100000004,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.1,0.4,0.095833333,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.17,0.3,0.166666667,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.29,0.38,0.291666667,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.42,0.5,0.41666666700000005,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
0.01,0.8,0.005555556,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
0.17,0.25,0.166666667,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.13,0.45,0.127777778,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True
-0.24,0.57,0.23854166699999999,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,True
0.44,0.47,0.444444444,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.42,0.5,0.41666666700000005,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
0.33,0.5,0.333333333,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0.0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.17,0.75,0.166666667,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True
0.29,0.75,0.291666667,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
0.38,0.73,0.37777777799999995,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,True,True,True,False,False,True,False,False,True,False,False,False,False,False,True
0.47,0.4,0.47184244799999997,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.03,0.36,0.033333333,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
0.24,0.4,0.239583333,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True
0.07,0.65,0.066666667,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True
0.33,0.5,0.333333333,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.61,0.5,0.606944444,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.27,0.45,0.26666666699999997,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.11,0.83,0.111111111,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True
0.34,0.57,0.34166666700000003,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
0.42,0.5,0.41666666700000005,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
-0.1,0.63,0.1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
-0.09,0.63,0.088888889,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
-0.08,0.75,0.083333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.23,0.38,0.226666667,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.06,0.69,0.063809524,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
-0.33,0.75,0.333333333,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.42,0.5,0.41666666700000005,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.07,0.5,0.072916667,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
-0.36,0.77,0.355555556,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.06,0.67,0.058333333,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0.42,0.55,0.41666666700000005,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
0.33,0.5,0.333333333,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
-0.16,0.7,0.15555555599999998,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.29,0.38,0.291666667,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.57,0.6,0.566666667,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True
-0.04,0.67,0.04444444400000001,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.85,1.0,0.85,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
-0.23,0.65,0.233333333,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
0.03,0.67,0.030208332999999997,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.57,0.6,0.566666667,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
0.13,0.63,0.127777778,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.4,0.72,0.39583333299999995,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
0.04,0.6,0.04444444400000001,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
0.52,0.55,0.5166666670000001,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.17,0.25,0.166666667,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
0.19,0.3,0.19166666699999999,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.29,0.75,0.291666667,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,True
0.24,0.36,0.24242424199999998,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.42,0.5,0.41666666700000005,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
-0.13,0.65,0.133333333,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.65,0.5,0.651041667,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
0.33,0.5,0.333333333,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.18,0.67,0.18333333300000001,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
0.27,0.35,0.26666666699999997,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
