L,absPolarity,sentiment_polarity,sentiment_subjectivity,me,dont,i,it,but,im,know,so,now,my,out,1,2,3,4,5,6,7,8,9,10,11
True,0.12,0.12,0.29,False,True,True,False,False,False,False,False,False,False,False,0.0673516841394746,-0.09363544024705699,-0.012502385530894528,-0.06706954701036566,-0.016294259282491542,-0.05332979219051269,0.1456342455654415,-0.061383907915220165,0.023735648198301658,0.02326081418389269,-0.024893056727764762
True,0.33,0.33,0.5,False,False,False,False,False,True,False,False,False,False,False,-0.03272961140705689,0.10397155226641888,-0.02205615519467142,0.04349682205544326,-0.00916398405927403,-0.005535010737916381,0.0521558109266493,-0.04133675085906194,-0.005947971198718369,-0.004015298414579907,-0.0046766668945154855
True,0.42,0.42,0.5,False,False,True,False,False,False,False,False,False,False,True,0.0007786921051815901,-0.04878401795337186,-0.04080162116111505,-0.06032050506387271,0.016939412557224736,-0.015426603371042888,-0.011080611826795964,-0.01636334267988221,0.0012004396242528588,0.0007986617330320407,-0.005733394004370625
True,0.36,0.36,0.44,True,False,True,False,True,True,False,False,False,True,False,0.0961111674113318,0.11807376220484248,-0.0766352885362311,-0.14326783564966425,0.05100405239921638,-0.16947129598664018,0.07064509675977287,-0.014572844703567865,0.1014336670736378,-0.03754558199806265,-0.02690723491402864
True,0.33,0.33,0.5,False,False,True,False,False,True,False,True,True,True,False,-0.07150634279575167,0.02145041106395458,-0.11186765497101801,-0.19166038689328768,-0.026411685142850833,-0.10445856768125769,-0.12453710758305186,-0.11795895467339938,-0.18069629749696253,-0.018909290275333675,-0.13161230515411174
True,0.0,0.0,0.0,False,False,True,False,False,True,False,False,False,False,False,-0.019402189125155265,0.10091028813887848,-0.058462651544847186,0.027752724351634783,0.0005787401676949546,-0.032470335373520856,0.0547259675254117,-0.047563353517920896,-0.000218687113194364,-0.0036777523323008486,-0.007347299469573437
True,0.33,0.33,0.5,False,False,True,False,False,False,False,False,False,False,False,0.013327422281901622,-0.0030612641275403986,-0.03640649635017577,-0.015744097703808475,0.009742724226968985,-0.02693532463560448,0.0025701565987623996,-0.006226602658858958,0.005729284085524005,0.000337546082279059,-0.002670632575057952
True,0.03,-0.03,0.55,False,False,False,False,False,True,False,False,False,True,False,0.01164741492887695,0.09361549272628092,-0.01092578543377958,0.023109502520628194,0.00016551752851576979,0.029909411786918735,0.06678182571083882,-0.0349099950909509,-0.025759557024691532,-0.0005536546073226867,-0.006746786563629592
True,0.04,0.04,0.5,False,False,True,False,False,False,False,True,False,True,False,-0.09094864156205983,-0.09365237508948993,-0.12198071116144314,-0.2908098073680462,-0.06814213527877006,-0.1011083119712203,-0.21873923690001854,-0.02771955479314192,-0.1728398596502084,-0.02681965987961016,-0.11875058775833826
True,0.33,0.33,0.5,False,False,True,False,False,False,False,False,False,False,False,0.013327422281901622,-0.0030612641275403986,-0.03640649635017577,-0.015744097703808475,0.009742724226968985,-0.02693532463560448,0.0025701565987623996,-0.006226602658858958,0.005729284085524005,0.000337546082279059,-0.002670632575057952
