sentiment_polarity,sentiment_subjectivity,absPolarity,L,pregnant,day,caus,im,still,didnt,sinc,pregnantim,getpregnant,thinkim,monthpregnant,feellike,0,1,2,3,4,5
0.19,0.75,0.19,True,True,False,False,False,False,False,False,False,False,False,False,False,1.2481114693784852,0.5806711924802649,0.7803523484784122,0.11650186637815979,-0.19606176116534607,0.028310967329110037
0.33,0.5,0.33,True,True,False,False,False,False,False,True,False,True,False,False,False,1.297302778436846,0.7756428661377818,0.4928852586145195,0.9962653846507461,0.2867453129156123,-0.14401756917626057
0.65,0.5,0.65,True,True,False,False,False,False,False,False,False,False,False,False,False,1.3114292471840006,0.677624571811129,0.8575804314825036,-0.028011686005379583,0.301121917023586,-0.22417133640621514
0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0.4085579156629427,-0.3044449883511757,0.7739542422952281,0.35219429854278245,-0.03343147556533627,-0.04694644394131305
0.32,0.51,0.32,True,True,False,False,False,False,False,False,False,False,False,False,False,1.2150778397430109,0.5508927193808495,0.7886946338819203,0.09974388770681931,-0.06762745884131219,-0.15852087381173915
0.0,0.1,0.0,True,True,False,False,False,True,False,False,False,False,False,False,False,1.020028767103214,0.3161241531956583,0.7487854017367784,0.34649791377368794,-0.5779811423452442,-0.2535758510938818
0.17,0.7,0.17,True,True,False,False,False,False,False,False,False,False,False,True,False,1.2516453791207385,0.6245265482172982,0.8053365723319711,0.1236661201124055,-0.46549538238201277,0.38551179723394374
0.02,0.57,0.02,True,True,False,False,False,False,False,False,False,False,False,False,False,1.1427954857014757,0.45287081209004393,0.7301244336157282,0.20864558056948543,-0.39922445768046805,-0.06412376688322026
0.33,0.5,0.33,True,True,False,False,False,False,False,False,False,False,False,False,False,1.2150814204022096,0.5514590085176297,0.7900100342753977,0.0972515043585304,-0.057144607995506046,-0.1671226376179605
0.33,0.5,0.33,True,True,False,False,False,False,False,False,False,True,False,False,False,1.2777285560138567,0.7765475341601938,0.46425225750763593,0.9645430859383831,0.2082450476171339,-0.07604913438350544
0.08,0.5,0.08,True,True,False,False,True,False,False,False,True,False,False,False,False,2.0108131596109127,-0.37860210506804587,0.0465724572382828,0.03396128675777019,-0.21404121085455058,-0.0007975728353831826
0.28,0.75,0.28,True,True,False,False,False,False,False,False,False,False,False,True,False,1.2998013892156413,0.6847778841801466,0.8325447689681388,0.07349644167189519,-0.33877637410149736,0.39999626687092327
0.33,0.5,0.33,True,True,False,False,False,False,False,False,False,False,False,False,False,1.2150814204022096,0.5514590085176297,0.7900100342753977,0.0972515043585304,-0.057144607995506046,-0.1671226376179605
-0.08,0.59,0.08,True,True,False,False,True,False,False,False,True,False,False,False,False,2.015554740437102,-0.37808625734680656,0.03482144375548302,0.05114989236729077,-0.3105196065790991,0.1068122842513487
0.11,0.5,0.11,True,True,False,False,True,False,False,False,True,False,False,False,False,2.0198457683717046,-0.3667740835092804,0.05290718197644889,0.022217862661153578,-0.18045372413401073,-0.006145888346782083
0.33,0.75,0.33,True,True,False,False,True,False,True,False,True,False,True,False,False,2.209967617765388,-0.21222835262492679,0.11867618952948106,-0.05113751881926617,0.179695136172579,-0.11801059588786342
0.44,0.5,0.44,True,True,False,False,False,False,False,False,False,False,False,False,False,1.24820098585845,0.5948284208997701,0.8132373583153404,0.054192282670936315,0.06600950997980688,-0.18673312782642298
0.33,1.0,0.33,True,True,False,False,False,False,False,False,False,False,False,False,False,1.3654458667888274,0.7202782443247117,0.8298187602376449,0.026146936829367997,-0.021495704943480638,0.17382696083645768
0.1,0.68,0.1,True,True,False,False,False,True,False,False,False,True,False,True,False,1.3117994499474257,0.8450923579272412,0.523509742487672,1.0843882976145753,-0.4027575432215593,0.6029017140523786
0.42,0.59,0.42,True,True,False,False,False,False,False,False,False,False,False,False,False,1.26924484703418,0.6173305356392012,0.8161797791631005,0.04922240991343147,0.05003465471547821,-0.12179665643036182
