L,absPolarity,sentiment_polarity,sentiment_subjectivity,1,2
True,0.333333333,0.33,0.5,-5688.305975647872,-62151.0828459881
True,0.0,0.0,0.0,-85700.75265695273,-19898.05584804564
True,0.520833333,0.52,0.5,-18721.098767962834,-113979.14819628611
True,0.111111111,0.11,0.52,-19587.477857477134,-42647.478465849854
True,0.320634921,0.32,0.44,-48428.80846362024,-142405.15470976796
True,0.46666666700000003,0.47,0.75,0.0,0.0
True,0.207407407,-0.21,0.56,-320104.6374382247,-41380.29443472401
True,0.291666667,-0.29,0.54,-326937.3520317675,38341.78168134323
True,0.333333333,0.33,0.5,-129079.4621191427,41077.61314932805
True,0.166666667,0.17,0.31,-236358.66228578426,-88904.92496746818
True,0.333333333,0.33,0.5,-26367.237063778804,-103261.4131385264
True,0.136111111,0.14,0.7,-215696.57417760632,-117780.73458270924
True,0.016666667,0.02,0.55,-93408.0516323439,-9110.76120971109
True,0.41666666700000005,0.42,0.5,-101786.21966447151,2714.444802372869
True,0.333333333,0.33,0.5,0.0,0.0
True,0.333333333,0.33,0.5,-8139.642596975369,-58702.68764723601
True,0.11489899,0.11,0.46,-99715.38784019715,-229.2754534592459
True,0.566666667,0.57,0.6,-32014.15191898865,-25201.516271955446
True,0.166666667,0.17,0.3,-11741.018945467047,-123776.4067472857
True,0.333333333,0.33,0.5,-25400.258687485417,-34462.59499362811
True,0.333333333,0.33,0.5,-28927.229829360345,-99642.29787389553
True,0.333333333,0.33,0.5,0.0,0.0
True,0.066666667,0.07,0.55,-167173.55274746113,94531.26105804942
True,0.27777777800000003,0.28,0.33,-25181.28534493309,-104912.92116168886
True,0.333333333,0.33,0.5,0.0,0.0
True,0.333333333,0.33,0.5,0.0,0.0
True,0.333333333,0.33,0.5,-9822.490291692106,-56341.87459314264
True,0.26666666699999997,0.27,0.55,0.0,0.0
True,0.333333333,0.33,0.5,-111427.41962605776,-53871.78304524708
True,0.333333333,0.33,0.5,0.0,0.0
True,0.333333333,0.33,0.5,-210074.70457535167,14519.892493867046
True,0.813802083,0.81,0.5,0.0,0.0
True,0.358333333,0.36,0.3,-361295.187018846,86705.13771949497
True,0.333333333,0.33,0.6,-86481.18656768883,-299357.22045126423
True,0.333333333,0.33,0.5,0.0,0.0
True,0.005555556,0.01,0.7,-247343.9921095654,-73448.34524279054
True,0.36111111100000004,0.36,0.8,0.0,0.0
True,0.333333333,0.33,0.5,-88950.58167396719,54829.148829619284
True,0.095833333,0.1,0.4,-236791.25884470827,-18115.843677334837
True,0.333333333,0.33,0.5,-66072.7185579248,-187741.16475142003
True,0.333333333,0.33,0.5,-202446.22149056036,3847.4265361153884
True,0.333333333,0.33,0.5,-66915.46915181998,23888.826467384813
True,0.333333333,0.33,0.5,0.0,0.0
True,0.333333333,0.33,0.5,-174651.3343309199,34931.092981573645
True,0.166666667,0.17,0.3,-41836.64221068076,-81543.39086509809
True,0.291666667,0.29,0.38,-104644.36874682357,6705.063465386498
True,0.41666666700000005,0.42,0.5,-101092.57974461166,71893.53924894406
True,0.005555556,0.01,0.8,-67189.75742881418,-186192.0432653888
True,0.166666667,0.17,0.25,-188620.56033454364,54552.33415598888
True,0.333333333,0.33,0.5,0.0,0.0
True,0.127777778,0.13,0.45,-263657.0150859314,19659.35812392739
True,0.23854166699999999,-0.24,0.57,-257820.64166559238,-128859.70965295663
True,0.444444444,0.44,0.47,-7163.765813240779,-60082.50929706581
True,0.41666666700000005,0.42,0.5,-159504.3803080151,13475.89799300315
True,0.333333333,0.33,0.5,-97090.22427094256,-3873.5388176167253
True,0.0,0.0,0.0,-15185.080558849966,-48812.87343814122
True,0.333333333,0.33,0.5,0.0,0.0
True,0.166666667,0.17,0.75,-220764.9676806317,-110678.82085704376
True,0.291666667,0.29,0.75,0.0,0.0
True,0.37777777799999995,0.38,0.73,-133106.7316636003,46692.02297698861
True,0.333333333,0.33,0.5,-294926.7362689681,-6527.40108311423
True,0.47184244799999997,0.47,0.4,-215649.8283612728,22291.027960789037
True,0.333333333,0.33,0.5,0.0,0.0
True,0.033333333,0.03,0.36,-96998.70278623773,-74171.35689226598
True,0.333333333,0.33,0.5,-80012.44668130485,42253.02699794246
True,0.333333333,0.33,0.5,-82100.54971066995,-24924.046970756408
True,0.239583333,0.24,0.4,-226625.5766109931,37811.55338455005
True,0.066666667,0.07,0.65,-195160.43512199214,63715.33495843341
True,0.333333333,0.33,0.5,-174651.3343309199,34931.092981573645
True,0.606944444,0.61,0.5,-213608.60730324092,-50619.88660322344
True,0.333333333,0.33,0.5,-168963.02835527202,97082.17582756175
True,0.333333333,0.33,0.5,-88950.58167396719,54829.148829619284
True,0.26666666699999997,0.27,0.45,-157801.317874243,-129081.2424603495
True,0.111111111,0.11,0.83,-106820.29654166974,9737.771543121078
True,0.34166666700000003,0.34,0.57,-85508.75744206211,-20165.796193887894
True,0.41666666700000005,0.42,0.5,-204683.86617411947,6988.478616783395
True,0.1,-0.1,0.63,-66576.35371386277,-46805.22232681088
True,0.088888889,-0.09,0.63,-102889.84507285862,-65899.96612489366
True,0.083333333,-0.08,0.75,0.0,0.0
True,0.333333333,0.33,0.5,-153365.65843951973,-135233.9655504448
True,0.226666667,0.23,0.38,-56646.073984507384,-60749.479804511415
True,0.063809524,0.06,0.69,-48088.391136607504,-72748.48907904288
True,0.333333333,0.33,0.5,-4936.07112113155,-63212.765868950875
True,0.333333333,0.33,0.5,-15185.080558849966,-48812.87343814122
True,0.333333333,-0.33,0.75,-193802.14290235905,-78520.90527238969
True,0.41666666700000005,0.42,0.5,-107066.45879851229,10117.94060439691
True,0.072916667,0.07,0.5,-266582.1918690571,23775.541826614943
True,0.333333333,0.33,0.5,0.0,0.0
True,0.355555556,-0.36,0.77,-15346.243657353582,-118724.95408325864
True,0.333333333,0.33,0.5,-94638.88764961506,-7321.9340163688175
True,0.058333333,0.06,0.67,-141992.5442163326,-10945.597692303949
True,0.41666666700000005,0.42,0.55,-13745.472239606439,-120983.3702377628
True,0.333333333,0.33,0.5,-32922.95349566259,-94028.69196856688
True,0.333333333,0.33,0.5,-118281.48362912532,-44320.417018255655
True,0.333333333,0.33,0.5,-193594.95042079076,61534.21229500578
True,0.333333333,0.33,0.5,-18795.617489870987,-113881.61974593968
True,0.15555555599999998,-0.16,0.7,-107224.2265183249,-129925.63659559547
True,0.291666667,0.29,0.38,-27054.012117207443,-32135.086393545553
True,0.566666667,0.57,0.6,-108256.34555785244,11811.029951878249
True,0.04444444400000001,-0.04,0.67,-122894.5357592886,-37809.20126396635
True,0.333333333,0.33,0.5,-15185.080558849966,-48812.87343814122
True,0.85,0.85,1.0,-66463.36045765836,-187185.5663912045
True,0.233333333,-0.23,0.65,-53387.14106201645,-65278.52109324412
True,0.030208332999999997,0.03,0.67,-390627.4969973872,-82609.07937767159
True,0.333333333,0.33,0.5,-38547.074147539475,-86121.24414308553
True,0.566666667,0.57,0.6,-113733.18899990912,-190951.5599527982
True,0.127777778,0.13,0.63,-116277.66030346163,23080.665810802835
True,0.333333333,0.33,0.5,0.0,0.0
True,0.333333333,0.33,0.5,-43270.7295469578,-219775.6538109117
True,0.39583333299999995,0.4,0.72,-145414.3369603794,-76329.060428871
True,0.04444444400000001,0.04,0.6,-166781.92001377922,-46274.9859686155
True,0.5166666670000001,0.52,0.55,-140799.04949630413,-12648.096707706289
True,0.333333333,0.33,0.5,0.0,0.0
True,0.166666667,0.17,0.25,-211330.1034198413,16356.105914091277
True,0.333333333,0.33,0.5,-251537.33560853123,2649.4555418923846
True,0.19166666699999999,0.19,0.3,-111165.55738315056,-194548.87257252415
True,0.291666667,0.29,0.75,-238512.91585042595,-15619.103204460145
True,0.24242424199999998,0.24,0.36,-376296.1798514927,37685.927777470526
True,0.333333333,0.33,0.5,0.0,0.0
True,0.41666666700000005,0.42,0.5,0.0,0.0
True,0.133333333,-0.13,0.65,-7692.31783270381,-59340.119684694895
True,0.333333333,0.33,0.5,-37627.939172728366,-87450.12756828997
True,0.333333333,0.33,0.5,-98989.92783130152,-1232.3674181765891
True,0.651041667,0.65,0.5,-187021.1441410146,-18017.622270947075
True,0.333333333,0.33,0.5,-15185.080558849966,-48812.87343814122
True,0.18333333300000001,0.18,0.67,-91942.82895927074,-221550.91981240263
True,0.26666666699999997,0.27,0.35,-213671.18685988095,-331132.1629867722
True,0.333333333,0.33,0.5,0.0,0.0
True,0.26666666699999997,0.27,0.35,-256920.24647143835,-130117.6885569223
True,0.24444444399999998,0.24,0.77,-16074.239217618857,-47546.97280708743
True,0.333333333,0.33,0.5,-85700.75265695273,-19898.05584804564
