sentiment_polarity,sentiment_subjectivity,absPolarity,L,so,we,last,for,drunk,i,when,am,fuck,up,this,as,im,at,my,night,got,still,was,think,out,getdrunk,imdrunk,stilldrunk,gotdrunk,yourdrunk,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-0.5,1.0,0.5,True,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,2.3387625249976747,1.2026574847551934,-0.14645126805228886,-0.20619658112197536,-0.2318602676431351,-0.3527648092581002,0.11694524839478344,0.4210499326863134,-0.13622277969510302,-0.1287335101135169,0.10292263104470124,0.6287539981735586,0.316517892614643,-0.8101699933739597,0.6680903224103585
-0.25,0.53,0.25,True,True,False,True,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,2.0165974464712466,1.2994345057267196,0.1394905427266258,0.28411991104254025,-0.4952303353182707,0.5626839647055591,0.006644986106958785,0.7573030387259196,0.1924764948024797,-0.6003619764957651,0.7713915241507507,-0.15384261966838475,-0.2801603103858224,-0.7322738280994125,0.020543080000225856
-0.25,0.53,0.25,True,True,False,True,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,1.9676901385122105,1.4775370670402819,0.04262944465976113,-0.01771940962517871,-0.3302637522120267,-0.2600064084180408,-0.45947683146941476,0.929944685468317,-0.044955113450255636,-0.273224941711568,0.38816652447804256,0.21995649394816716,-0.08085431605344404,-0.6229910314622811,0.21475805656534983
-0.25,0.53,0.25,True,False,False,True,False,True,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,2.0258006134787596,1.5001567792740549,-0.013619679874806412,-0.0811932011054377,-0.3987801364274248,-0.1646632011194657,-0.01777470881828426,0.8242511077200481,-0.5198371484036284,0.27525621707354925,0.22927413627125098,0.010271289162290741,0.6246583954207708,-0.3244065739262009,0.4747635692981273
-0.03,0.6,0.033333333,True,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,1.822254350333784,1.250369618798968,0.010179477017360015,-0.20502644654615468,0.03526730156580563,-0.5162886266294313,0.40551645088449884,0.045601995529704516,-0.3276272499563351,0.1515783652912103,-0.3208153556040047,0.4362648336602134,0.7001772251233126,0.02012783934480089,0.221328986713219
-0.16,0.78,0.16,True,False,False,False,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2.0155743698208295,1.1578220986438177,0.011145311102384549,-0.27953037131598557,-0.01651498240913303,-0.6555932745548735,0.343328973508193,0.0075026609967416115,0.45500725240400397,0.47354315435009264,-0.05355015502705855,-0.0005636622077819521,-0.22020896592780997,0.27243462154770304,-0.05291965804701297
-0.5,1.0,0.5,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,2.172623735117693,1.0108696835917979,-0.13595998085013408,-0.26929268297123354,-0.03662500648384817,-0.5850793143224816,-0.0022967233813072905,-0.13953764132219912,-0.16278929229756864,-0.12272689208653291,-0.515696116000482,0.00037028444630092495,-0.07470379453801478,-0.05831954851470004,-0.05588917410655343
-0.5,1.0,0.5,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2.143762678580992,0.9738296758873133,-0.14424858355600476,-0.21634037632537892,-0.08232995274316454,-0.6229272569186519,0.024087962929164524,-0.07843689901851897,-0.11914442447124465,-0.10884186899538784,-0.5542637055211622,0.015197343402749907,-0.0757473160211547,-0.05241232298996544,-0.08589284004466093
-0.15,0.53,0.15,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,1.919270750923069,0.998471614639259,-0.10154645507937517,0.4734468995545522,0.5979692433259765,-0.6210286944718094,0.17429377161108514,0.34891375783786327,-0.2960217742146784,0.13517935515004623,-0.3951443093813245,0.1294450915443313,-0.068987459262683,0.0793073905501812,-0.2326399885503957
-0.25,0.75,0.25,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,1.9826287667759692,0.6224509038347754,-0.10977836482557654,0.6176419391395022,0.45996775657080985,-0.4326957248244788,-0.01431562369017198,0.22509597981740423,-0.04420645679555908,-0.04424863394421781,-0.22340733960976702,-0.16034151758800663,-0.07354415416594327,0.0636220153907666,-0.27136036565495575
-0.38,0.69,0.375,True,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,2.0327814984911425,1.3472223278004953,-0.04957996736900578,-0.07712400851840678,-0.3794894748547091,-0.3316637744050882,-0.41366181465409063,0.8159705046628047,-0.3130523326974515,-0.04417093953300517,-0.01517910309317244,-0.4245004530236395,0.14002382308129183,-0.2099460591378957,0.12551191497551847
0.1,0.8,0.1,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1.9228137363166142,1.2231462397397872,0.03567752782280151,-0.14704591788126828,0.030085320551776422,-0.45894186910351126,0.02016503983424619,0.133484443065681,0.14610689796939863,-0.31394789625165015,0.04111560599232248,0.824001416143798,-0.12763727524261703,-0.20506547854247725,-0.15565712593168352
-0.4,0.77,0.4,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,2.227896730782481,1.2805959882095617,-0.062271391854327014,0.12917506559763872,-0.41472017087254265,0.7857390082725069,0.4232184856845461,0.11214285626839957,0.21494447420311907,0.03965508919441062,-0.7544954838582455,0.8053941664859283,-0.6780426058555459,-0.4742801266503059,0.0602008374982038
-0.5,1.0,0.5,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2.143762678580992,0.9738296758873133,-0.14424858355600476,-0.21634037632537892,-0.08232995274316454,-0.6229272569186519,0.024087962929164514,-0.07843689901851897,-0.11914442447124465,-0.10884186899538785,-0.5542637055211622,0.015197343402750033,-0.07574731602115473,-0.05241232298996522,-0.0858928400446609
-0.08,0.77,0.075,True,False,False,True,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,2.0581730374665983,1.5048937030730973,0.027308663360104155,-0.0056743190345098105,-0.34624831216778035,0.3146060244313199,0.2708142026127057,0.8392801105412546,-0.3238017439316838,-0.306718037185272,0.1830524719715627,-0.5241794855959189,0.1705860094339509,-0.11457939394816691,-0.03703855821016362
0.08,0.15,0.083333333,True,False,False,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,1.109671122393019,1.6750783335978885,0.45751759477681175,-0.08611868944806161,-0.15755343513383505,-0.6352366776150086,0.23292044148914542,0.2684942357713546,-0.021423150354554027,0.8268789128630342,0.2965802774122733,-0.34725485082747215,-0.41416529166516514,-0.04468855711787313,0.08947612801408278
-0.34,0.65,0.34166666700000003,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,2.1269408323642476,1.0474457238123778,-0.17532076269647226,0.4920253992824565,0.3707766426106437,-0.43373190175920073,-0.012859185750272112,0.7535269248590181,-0.3802420341331671,0.15643842651550438,-0.17482216516955124,-0.15605686612630174,-0.08160837832642737,-0.11270164728096528,-0.02026434450948341
-0.33,0.85,0.325,True,False,False,False,False,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,2.4632534278843288,0.5421434540043432,0.902454127924258,-0.09745235619609191,0.9922772877915589,-0.5024881758427446,0.3035901996946968,0.47329891882703734,-0.5890292726389077,0.41155227596763383,-0.6189654481230473,0.3031137402064074,0.3435984668695027,-0.3671321450575752,0.36012632707289277
0.07,0.62,0.066666667,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False,True,True,False,2.043232684875965,1.41041909690774,0.1887546968538314,0.1009232064517749,-0.6550495447819972,0.8953863945658871,0.6917992575317897,-0.29163572825307454,-0.8437356569211193,0.8834521751161679,-0.24284010093899994,0.32260389456635147,-0.6612160686533337,0.09903937365057446,-0.4291689194728019
0.13,0.47,0.125,True,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1.7357102329967102,1.267659657142934,0.06092533197638664,-0.13940078744039194,0.07811963390174174,-0.47610743906923125,0.1961788332663108,0.09040111707784813,-0.1980595040189825,-0.18001477729534546,-0.31136483350568345,0.344281469827153,0.07077728300318478,0.36953170869845986,-0.5750067133139359
-0.24,0.64,0.235,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,True,2.218332699815334,0.7757156557671485,0.957299842520269,-0.528987550930001,0.05710987407618333,0.3705965941455022,-0.1671845958766119,0.4649779833138512,0.04030201083913685,1.0051939157472087,-1.044930847752383,0.6729027569029942,-0.23059494480092982,0.02285190136861482,-0.469328647783907
-0.3,0.55,0.3,True,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,1.9712039183752563,1.2024205494715958,0.13856698542059248,-0.21767519842317598,-0.27454824164539643,-0.6313111957679729,0.4608030279348939,-0.5119871960909832,-1.1086475905585753,0.6799836823785214,0.1279171306204879,0.20713761567446556,0.19514561455527354,-0.37605854994059273,0.13840825598557452
-0.5,1.0,0.5,True,False,False,False,True,True,True,False,True,False,True,False,False,False,False,True,False,False,True,True,True,False,False,False,True,False,False,2.4263078199178514,1.1583141069794276,0.06943610706913136,-0.17932094574707216,-0.3169038234196283,-0.0040086808053596485,0.8220110015987522,-0.7385849749687575,-1.0311360843345774,0.08255447611802033,0.20961973502591455,-0.12502040711524334,-0.7414695696487753,-0.28238987518329856,-0.6634198712602806
-0.25,0.53,0.25,True,False,False,True,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,2.000258574222555,1.514153040607783,0.03913000020015836,0.030093305701005494,-0.35835483733139656,0.2743698963884919,0.258380587443623,0.819268548629484,-0.3228782837969157,-0.2908219863126728,0.09935873330332827,-0.5997537060879548,0.08340224761000789,-0.25625715550892936,0.03967446764976735
